Title:,"Time Series, Area-Averaged of Total column ozone monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,2004-01-01T00:00:00Z
User End Date:,2025-12-31T23:59:59Z
User Bounding Box:,"5,51.8,5.5,52.3"
Data Bounding Box:,"5,52,5,52"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-01-01T00:00:00Z&endtime=2025-12-31T23:59:59Z&bbox=5,51.8,5.5,52.3&data=M2IMNXASM_5_12_4_TO3%2CM2TMNXSLV_5_12_4_TO3%2CM2TMNXCHM_5_12_4_TO3&dataKeyword=ozone%20total%20column&portal=GIOVANNI&format=json"
Fill Value (mean_M2IMNXASM_5_12_4_TO3):, 1000000000000000

time, mean_M2IMNXASM_5_12_4_TO3
2004-01-01 00:00:00,337.439941
2004-02-01 00:00:00,362.060059
2004-03-01 00:00:00,374.038208
2004-04-01 00:00:00,370.794464
2004-05-01 00:00:00,370.699127
2004-06-01 00:00:00,350.986786
2004-07-01 00:00:00,333.424011
2004-08-01 00:00:00,316.820068
2004-09-01 00:00:00,289.703766
2004-10-01 00:00:00,285.940887
2004-11-01 00:00:00,276.341339
2004-12-01 00:00:00,304.24234
2005-01-01 00:00:00,312.36319
2005-02-01 00:00:00,336.424744
2005-03-01 00:00:00,333.544037
2005-04-01 00:00:00,367.932861
2005-05-01 00:00:00,349.866913
2005-06-01 00:00:00,329.67691
2005-07-01 00:00:00,331.451569
2005-08-01 00:00:00,315.173828
2005-09-01 00:00:00,282.800293
2005-10-01 00:00:00,272.25882
2005-11-01 00:00:00,287.870056
2005-12-01 00:00:00,314.700989
2006-01-01 00:00:00,298.829437
2006-02-01 00:00:00,364.32196
2006-03-01 00:00:00,380.573914
2006-04-01 00:00:00,386.774414
2006-05-01 00:00:00,368.10849
2006-06-01 00:00:00,334.450134
2006-07-01 00:00:00,316.207794
2006-08-01 00:00:00,331.629059
2006-09-01 00:00:00,279.837799
2006-10-01 00:00:00,269.756256
2006-11-01 00:00:00,284.730316
2006-12-01 00:00:00,277.866119
2007-01-01 00:00:00,323.614532
2007-02-01 00:00:00,352.686035
2007-03-01 00:00:00,394.648315
2007-04-01 00:00:00,342.015472
2007-05-01 00:00:00,344.030121
2007-06-01 00:00:00,337.127136
2007-07-01 00:00:00,332.322388
2007-08-01 00:00:00,310.032776
2007-09-01 00:00:00,294.381989
2007-10-01 00:00:00,269.010193
2007-11-01 00:00:00,273.053925
2007-12-01 00:00:00,298.713074
2008-01-01 00:00:00,308.040894
2008-02-01 00:00:00,304.745178
2008-03-01 00:00:00,378.720032
2008-04-01 00:00:00,381.988586
2008-05-01 00:00:00,347.957428
2008-06-01 00:00:00,336.36441
2008-07-01 00:00:00,327.616058
2008-08-01 00:00:00,310.430511
2008-09-01 00:00:00,284.914124
2008-10-01 00:00:00,278.851196
2008-11-01 00:00:00,282.824585
2008-12-01 00:00:00,291.339355
2009-01-01 00:00:00,355.166595
2009-02-01 00:00:00,396.340912
2009-03-01 00:00:00,365.036804
2009-04-01 00:00:00,349.863251
2009-05-01 00:00:00,340.950165
2009-06-01 00:00:00,342.09671
2009-07-01 00:00:00,328.316895
2009-08-01 00:00:00,301.380676
2009-09-01 00:00:00,294.350861
2009-10-01 00:00:00,280.702057
2009-11-01 00:00:00,288.291595
2009-12-01 00:00:00,338.148499
2010-01-01 00:00:00,352.079651
2010-02-01 00:00:00,374.009033
2010-03-01 00:00:00,398.107269
2010-04-01 00:00:00,376.237122
2010-05-01 00:00:00,374.582611
2010-06-01 00:00:00,349.421783
2010-07-01 00:00:00,329.930115
2010-08-01 00:00:00,326.317566
2010-09-01 00:00:00,309.183319
2010-10-01 00:00:00,289.499634
2010-11-01 00:00:00,317.812378
2010-12-01 00:00:00,340.457001
2011-01-01 00:00:00,336.793976
2011-02-01 00:00:00,342.369629
2011-03-01 00:00:00,341.209442
2011-04-01 00:00:00,337.45993
2011-05-01 00:00:00,346.542938
2011-06-01 00:00:00,337.008148
2011-07-01 00:00:00,332.016388
2011-08-01 00:00:00,304.198975
2011-09-01 00:00:00,283.489166
2011-10-01 00:00:00,273.770142
2011-11-01 00:00:00,270.057892
2011-12-01 00:00:00,282.091553
2012-01-01 00:00:00,288.168396
2012-02-01 00:00:00,325.378479
2012-03-01 00:00:00,329.282867
2012-04-01 00:00:00,375.946686
2012-05-01 00:00:00,352.010101
2012-06-01 00:00:00,339.58432
2012-07-01 00:00:00,334.549927
