x,y,identifier,file_path,dataset_id,station_id,station_name,station_gaw_id,station_gaw_url,contributor_name,contributor_id,contributor_url,country_id,country_name_en,country_name_fr,gaw_id,instrument_name,instrument_model,instrument_serial,observation_date,daily_date,daily_wlcode,daily_obscode,daily_columno3,daily_stdevo3,daily_utc_begin,daily_utc_end,daily_utc_mean,daily_nobs,daily_mmu,daily_columnso2,monthly_date,monthly_columno3,monthly_stdevo3,monthly_npts,url
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-05:20131101.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-05T00:00:00Z,9,5,279.8,3.0,8.30,14.34,11.31,17.0,2.91,-0.6,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-04:20131101.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-04T00:00:00Z,9,0,316.8,1.2,14.22,14.58,14.39,3.0,4.50,2.3,2013-11-01T00:00:00Z,311.0,30.2,30.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-04:20131101.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-04T00:00:00Z,9,0,316.8,1.2,14.23,14.58,14.39,3.0,4.50,-1.3,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-03:20131101.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-03T00:00:00Z,9,0,376.2,5.8,8.17,10.63,8.97,8.0,3.59,3.8,2013-11-01T00:00:00Z,311.0,30.2,30.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-03:20131101.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-03T00:00:00Z,9,0,376.2,5.8,8.17,10.63,8.97,8.0,3.59,-0.3,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-02:20131101.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-02T00:00:00Z,9,5,314.6,2.3,8.23,14.67,11.46,18.0,2.85,,2013-11-01T00:00:00Z,311.0,30.2,30.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-02:20131101.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-02T00:00:00Z,9,5,313.0,2.0,8.23,14.67,11.46,18.0,2.84,-0.1,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-01:20131101.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-01T00:00:00Z,9,5,302.2,2.5,8.18,14.68,11.44,18.0,2.95,,2013-11-01T00:00:00Z,311.0,30.2,30.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.Brewer.MKIII.189.KNMI.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-11-01:20131101.brewer.mkiii.189.knmi.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-11-01T00:00:00Z,2013-11-01T00:00:00Z,9,5,300.3,2.1,8.18,14.68,11.44,18.0,2.96,0.2,,,,,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131101.brewer.mkiii.189.knmi.csv
5.18,52.1,Brewer:MKIII:189:TotalOzone_1.0:316:KNMI:WOUDC:2013-10-31:20131001.Brewer.MKIII.189.KNMI.csv,/apps/data/wdr-ingest/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131001.Brewer.MKIII.189.KNMI.csv,TotalOzone_1.0,316,De Bilt,DBT,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-DBT,National  Meteorological Institute of the Netherlands,KNMI:WOUDC,http://www.knmi.nl/onderzk/,NLD,Netherlands,Pays-Bas,,Brewer,MKIII,189,2013-10-01T00:00:00Z,2013-10-31T00:00:00Z,9,0,287.6,0.6,10.90,13.61,11.92,7.0,2.51,4.1,2013-10-01T00:00:00Z,292.1,24.8,31.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn316/brewer/2013/20131001.Brewer.MKIII.189.KNMI.csv
