########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/datasets/insitu-observations-woudc-ozone-total-column-and-profiles
# This is a C3S product under the following licences:
# 20180314_Copernicus_License_V1.1
# woudc-data-policy
# This is a CSV file following the CDS convention cdm-obs
# Data source: TotalOzone
# Time extent: 20040101 - 20250331
# Geographic area (minlat/maxlat/minlon/maxlon): 50.80/50.80/4.35/4.35
# Variables selected and units:
# total_ozone_column [Dobson-units]
# standard_deviation_ozone [None]
# Uncertainty legend:
# No uncertainty columns available for this dataset.
########################################################################################
index,observation_id,report_id,observed_variable,observation_value,units,sensor_id,primary_station_id,height_of_station_above_sea_level,report_timestamp,longitude,latitude
55,501931,20339,standard_deviation_ozone,0.0,None,Beck,53,100.0,2004-01-15,4.35,50.8
56,478881,19411,total_ozone_column,394.8,Dobson-units,MKIII,53,100.0,2004-01-16,4.35,50.8
57,478881,19411,standard_deviation_ozone,1.3,None,MKIII,53,100.0,2004-01-16,4.35,50.8
58,478854,19410,total_ozone_column,419.2,Dobson-units,MKII,53,100.0,2004-01-18,4.35,50.8
59,478882,19411,total_ozone_column,421.7,Dobson-units,MKIII,53,100.0,2004-01-18,4.35,50.8
60,478854,19410,standard_deviation_ozone,5.7,None,MKII,53,100.0,2004-01-18,4.35,50.8
61,478882,19411,standard_deviation_ozone,5.2,None,MKIII,53,100.0,2004-01-18,4.35,50.8
62,478855,19410,total_ozone_column,392.0,Dobson-units,MKII,53,100.0,2004-01-19,4.35,50.8
63,478855,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-19,4.35,50.8
64,478856,19410,total_ozone_column,398.0,Dobson-units,MKII,53,100.0,2004-01-20,4.35,50.8
65,478883,19411,total_ozone_column,387.5,Dobson-units,MKIII,53,100.0,2004-01-20,4.35,50.8
66,501932,20339,total_ozone_column,381.4,Dobson-units,Beck,53,100.0,2004-01-20,4.35,50.8
